Date,Names,Loan_Purpose,Guarantor,Amount,Payment_Mode,Employment,Other Income,Marital_Status,Loan_Status,Interest_rate
2007-01-01,Daniel,Others,Absence,858489,Cash,Self-employed,Yes,Single,Rejected,20%
2007-01-02,Queen,Others,Absence,92053,Cash,Self-employed,No,Single,Rejected,10%
2007-01-03,Janet,School Fees,Absence,370355,Online,Self-employed,No,Single,Rejected,15%
2007-01-04,Daniel,Others,Present,56460,Online,Self-employed,Yes,Divorce,Approved,10%
2007-01-05,Paul,School Fees,Absence,593643,Cash,Employed,Yes,Married,Rejected,15%
2007-01-06,John,School Fees,Absence,779353,Online,Self-employed,Yes,Divorce,Rejected,10%
2007-01-07,Eniola,School Fees,Present,769351,Online,Self-employed,Yes,Married,Approved,10%
2007-01-08,Daniel,Rent,Present,529897,Cash,Unemployed,Yes,Single,Rejected,8%
2007-01-09,Propser,Rent,Absence,734145,Cash,Self-employed,No,Divorce,Rejected,15%
2007-01-10,Propser,Others,Present,981880,Cash,Employed,Yes,Divorce,Rejected,8%
2007-01-11,Queen,Food,Present,848292,Online,Unemployed,Yes,Married,Approved,20%
2007-01-12,Paul,Business,Present,542715,Cash,Unemployed,No,Single,Rejected,20%
2007-01-13,Paul,Others,Absence,223539,Cash,Employed,No,Divorce,Rejected,10%
2007-01-14,John,School Fees,Absence,958468,Cash,Unemployed,No,Married,Approved,15%
2007-01-15,James,Rent,Absence,655862,Cash,Employed,No,Single,Rejected,10%
2007-01-16,James,Food,Present,59304,Cash,Employed,Yes,Divorce,Rejected,8%
2007-01-17,Esther,Food,Present,635695,Cash,Employed,Yes,Divorce,Rejected,8%
2007-01-18,Queen,Food,Absence,571904,Cash,Self-employed,Yes,Divorce,Rejected,20%
2007-01-19,Esther,Rent,Absence,891258,Online,Employed,Yes,Divorce,Approved,15%
2007-01-20,Janet,Business,Absence,872278,Online,Unemployed,No,Divorce,Approved,10%
2007-01-21,Paul,Others,Present,764137,Cash,Self-employed,No,Single,Rejected,8%
2007-01-22,Queen,Food,Absence,316471,Cash,Self-employed,No,Single,Rejected,10%
2007-01-23,Blessing,Business,Absence,378698,Cash,Self-employed,Yes,Married,Approved,15%
2007-01-24,Blessing,Rent,Present,589859,Online,Self-employed,No,Divorce,Rejected,10%
2007-01-25,Eniola,School Fees,Absence,584430,Online,Unemployed,No,Married,Approved,10%
2007-01-26,Queen,Business,Absence,940313,Online,Unemployed,No,Married,Rejected,20%
2007-01-27,Janet,Others,Absence,283414,Online,Employed,Yes,Married,Approved,8%
2007-01-28,Blessing,Rent,Present,958395,Cash,Unemployed,No,Single,Rejected,8%
2007-01-29,Queen,Rent,Present,289943,Online,Unemployed,No,Married,Rejected,10%
2007-01-30,Propser,School Fees,Present,405062,Online,Self-employed,No,Divorce,Rejected,20%
2007-01-31,Paul,School Fees,Absence,75268,Online,Self-employed,Yes,Divorce,Approved,15%
2007-02-01,James,Food,Present,194220,Online,Unemployed,No,Single,Approved,8%
2007-02-02,Blessing,School Fees,Absence,456626,Online,Unemployed,No,Divorce,Approved,8%
2007-02-03,James,Rent,Present,684267,Cash,Unemployed,No,Divorce,Approved,20%
2007-02-04,John,Others,Present,956309,Cash,Employed,No,Single,Rejected,15%
2007-02-05,Esther,Others,Absence,300413,Online,Self-employed,Yes,Divorce,Approved,15%
2007-02-06,Paul,School Fees,Absence,607683,Online,Employed,No,Married,Rejected,20%
2007-02-07,Propser,Food,Absence,766767,Online,Unemployed,Yes,Married,Rejected,15%
2007-02-08,Janet,Others,Present,205379,Online,Unemployed,No,Single,Approved,8%
2007-02-09,Janet,School Fees,Absence,933228,Online,Self-employed,Yes,Divorce,Rejected,20%
2007-02-10,Daniel,School Fees,Absence,448672,Cash,Self-employed,No,Married,Approved,8%
2007-02-11,Janet,Business,Absence,832012,Cash,Self-employed,Yes,Divorce,Rejected,20%
2007-02-12,Queen,Business,Absence,637714,Cash,Unemployed,Yes,Divorce,Rejected,8%
2007-02-13,James,Business,Present,962452,Online,Employed,Yes,Single,Approved,15%
2007-02-14,John,Others,Absence,255758,Cash,Employed,Yes,Married,Approved,20%
2007-02-15,Queen,Food,Absence,663369,Online,Unemployed,No,Married,Approved,15%
